date,dummy,average_temp,low_temp,temp_range,precipitation,average_wind,average_humidity,low_humidity,total_daylight,average_ground_temp,average_vapor_pressure,average_atmos_pressure
2015-05-01,0,21.0,15.9,11.299999999999999,0.0,2.5,58.8,41,12.3,25.1,14.2,1003.3
2015-05-02,0,20.7,15.8,10.2,0.5,2.1,64.4,39,6.6,23.7,15.4,1001.7
2015-05-03,0,18.3,17.1,2.5,3.5,2.1,90.4,82,0.3,19.7,18.9,997.2
2015-05-04,0,16.1,12.5,7.600000000000001,0.0,4.2,45.9,13,12.4,21.2,7.9,998.9
2015-05-05,0,14.2,8.3,11.599999999999998,0.0,3.4,37.9,16,12.9,20.6,5.8,1001.3
2015-05-06,0,15.4,9.8,12.2,0.0,2.4,36.3,16,6.6,18.5,5.9,1001.6
2015-05-07,0,16.5,10.6,13.4,0.0,2.6,35.6,15,9.2,22.4,6.2,1002.3
2015-05-08,0,16.7,11.7,11.0,0.0,2.5,64.3,43,3.9,21.8,11.9,1002.8
2015-05-09,0,17.6,12.6,11.4,0.0,3.0,55.0,33,10.6,25.1,10.9,1002.7
2015-05-10,0,19.1,13.5,12.399999999999999,0.0,2.3,39.6,16,11.9,25.9,8.2,1006.7
2015-05-11,0,18.4,14.4,9.700000000000001,14.0,3.0,62.1,33,3.8,23.3,12.8,999.2
2015-05-12,0,13.3,10.3,7.199999999999999,9.5,6.4,75.9,49,4.7,16.7,11.4,989.6
2015-05-13,0,17.4,11.8,9.599999999999998,0.0,5.3,56.9,44,12.4,19.3,11.3,993.6
2015-05-14,0,20.4,15.3,11.3,0.0,3.3,63.8,44,8.7,22.7,15.3,996.7
2015-05-15,0,19.1,16.3,7.399999999999999,0.0,2.7,71.0,46,3.6,19.8,15.5,998.7
2015-05-16,0,18.0,11.6,13.6,0.0,3.0,41.3,16,13.3,23.0,8.0,1000.1
2015-05-17,0,18.6,11.7,13.5,0.0,2.2,40.4,12,13.0,22.6,7.7,1000.5
2015-05-18,0,17.7,13.7,8.5,0.0,3.2,53.9,30,2.8,20.1,10.9,994.9
2015-05-19,0,14.8,13.0,3.1999999999999993,1.0,3.6,88.9,82,0.2,16.7,14.9,996.0
2015-05-20,0,16.3,10.6,11.299999999999999,0.0,3.1,60.0,32,12.9,22.1,10.5,998.5
2015-05-21,0,18.7,12.6,13.4,0.0,3.7,50.1,23,12.4,25.0,10.2,1003.2
2015-05-22,0,20.0,13.7,13.5,0.0,2.9,45.3,23,12.9,26.6,9.9,1003.6
2015-05-23,0,20.6,13.6,14.700000000000001,0.0,2.5,38.5,16,12.3,26.2,8.5,1001.0
2015-05-24,0,21.0,14.0,14.5,0.0,2.4,37.3,16,13.5,28.9,8.6,998.5
2015-05-25,0,20.8,14.4,14.299999999999999,0.0,2.7,53.1,26,13.4,29.1,12.2,998.9
2015-05-26,0,21.5,14.1,16.200000000000003,0.0,2.7,48.9,17,13.4,29.8,11.3,1001.4
2015-05-27,0,23.2,14.4,17.1,0.0,2.0,32.9,13,13.5,31.0,8.1,1000.0
2015-05-28,0,24.3,16.7,15.500000000000004,0.0,2.2,27.1,15,12.3,30.6,7.8,998.7
2015-05-29,0,23.8,18.5,11.3,0.0,2.5,36.8,22,8.1,30.4,10.5,997.2
2015-05-30,0,19.8,17.0,6.199999999999999,0.4,2.9,71.0,50,4.0,21.3,16.3,995.3
2015-05-31,0,22.1,15.3,15.099999999999998,0.0,2.2,52.8,18,12.5,29.7,12.7,998.0
2015-06-01,1,21.7,15.8,12.7,0.0,2.6,44.6,22,12.0,26.9,11.0,1000.0
2015-06-02,1,23.1,18.1,11.7,0.0,2.7,46.9,25,12.5,29.9,12.6,997.9
2015-06-03,1,23.3,17.1,12.299999999999997,0.0,3.8,33.3,13,13.2,31.6,8.6,997.4
2015-06-04,1,24.2,17.1,14.399999999999999,0.0,2.6,28.9,15,9.9,32.0,8.3,999.4
2015-06-05,1,19.1,17.5,4.5,1.0,1.7,58.8,27,0.3,24.762295081967224,12.8,996.8
2015-06-06,1,22.4,16.4,12.5,0.0,2.3,50.4,29,11.0,29.8,13.0,1001.9
2015-06-07,1,23.4,18.7,12.8,0.0,2.3,46.8,24,8.2,30.2,12.8,1003.1
2015-06-08,1,22.4,18.2,9.600000000000001,0.0,2.3,54.9,33,5.1,28.3,14.6,997.5
2015-06-09,1,22.2,18.8,9.3,0.0,2.9,66.3,37,10.6,27.9,17.0,997.1
2015-06-10,1,25.3,17.6,17.299999999999997,0.0,2.2,54.3,19,11.1,33.9,16.0,997.5
2015-06-11,1,24.6,20.7,9.5,7.5,2.8,59.6,25,4.2,27.9,17.6,991.9
2015-06-12,1,23.6,19.4,10.5,0.5,3.8,63.1,32,11.9,27.5,17.5,993.3
2015-06-13,1,24.7,20.1,10.799999999999997,0.5,3.2,61.9,42,8.5,26.8,19.1,994.9
2015-06-14,1,22.8,17.8,9.899999999999999,15.5,2.7,70.3,44,8.5,26.6,19.0,997.5
2015-06-15,1,24.2,19.6,11.0,0.0,2.2,65.6,37,9.2,26.4,19.3,997.1
2015-06-16,1,25.0,20.0,10.899999999999999,0.0,2.4,65.9,43,9.8,28.8,20.3,995.1
2015-06-17,1,23.4,20.2,10.600000000000001,9.5,2.6,72.8,38,7.1,26.2,20.5,994.5
2015-06-18,1,24.8,19.6,11.7,3.0,2.7,59.4,32,8.9,25.7,17.7,995.9
2015-06-19,1,24.5,20.0,9.899999999999999,0.0,2.9,57.8,39,9.2,25.6,17.4,998.2
2015-06-20,1,19.6,17.0,5.600000000000001,44.5,1.8,91.0,73,0.0,20.5,20.6,999.1
2015-06-21,1,22.4,15.6,14.000000000000002,0.0,2.0,69.1,35,12.8,25.5,17.8,999.9
2015-06-22,1,24.0,19.4,9.700000000000003,0.0,2.4,60.4,43,11.3,26.5,17.5,999.9
2015-06-23,1,24.7,19.7,11.3,0.0,2.3,64.1,38,11.7,27.4,19.3,1000.6
2015-06-24,1,25.7,21.1,9.5,0.0,2.5,58.3,39,8.6,27.6,18.9,998.6
2015-06-25,1,24.8,21.0,8.100000000000001,2.0,2.1,65.1,45,2.4,27.3,20.0,993.4
2015-06-26,1,21.0,18.0,7.300000000000001,12.5,3.3,75.8,51,0.3,22.6,18.4,988.4
2015-06-27,1,25.2,19.2,11.900000000000002,0.0,2.2,55.3,34,12.6,27.5,17.1,996.1
2015-06-28,1,25.4,21.0,10.100000000000001,0.0,2.6,61.8,41,13.0,28.3,19.7,999.3
2015-06-29,1,25.7,21.2,9.400000000000002,0.0,2.8,61.8,42,11.4,29.7,19.8,996.8
2015-06-30,1,24.4,21.9,7.300000000000001,2.5,1.7,70.0,45,2.8,25.0,21.0,988.7
2015-07-01,1,23.7,21.0,6.899999999999999,0.5,3.8,66.3,38,11.7,28.3,18.9,985.8
2015-07-02,1,23.7,20.4,8.900000000000002,0.0,4.0,64.5,28,11.1,28.3,18.0,991.2
2015-07-03,1,23.3,19.2,9.100000000000001,0.0,3.0,62.6,32,11.1,28.2,17.2,995.4
2015-07-04,1,24.1,18.2,11.7,0.0,2.2,55.8,29,10.9,29.7,16.1,999.1
2015-07-05,1,24.2,20.1,9.5,0.0,2.3,57.4,38,9.7,27.7,16.9,1000.9
2015-07-06,1,25.3,20.2,12.3,0.0,2.2,54.3,30,9.9,30.9,16.8,1001.1
2015-07-07,1,25.6,21.4,8.3,0.0,2.0,52.1,34,5.5,29.7,16.8,1000.1
2015-07-08,1,23.4,20.7,5.600000000000001,0.5,4.0,69.8,47,1.3,26.1,19.9,1001.6
2015-07-09,1,26.5,22.1,9.7,0.0,2.9,61.3,43,4.5,29.3,21.0,1004.2
2015-07-10,1,29.2,23.6,10.699999999999996,0.0,1.9,60.9,39,8.7,33.2,23.8,1002.9
2015-07-11,1,30.4,25.7,10.3,0.0,2.1,60.3,40,9.9,34.9,25.5,999.0
2015-07-12,1,24.8,24.0,4.0,29.0,4.0,94.1,71,0.0,25.9,29.3,986.0
2015-07-13,1,23.1,21.4,3.5,10.0,5.2,90.8,76,0.1,23.6,25.5,983.3
2015-07-14,1,26.1,22.5,8.899999999999999,0.0,3.5,72.4,47,10.1,27.0,24.0,993.3
2015-07-15,1,27.9,22.7,11.2,0.0,2.9,58.8,35,11.4,28.7,21.3,996.4
2015-07-16,1,24.7,20.6,8.299999999999997,0.0,5.0,51.3,38,11.2,27.8,15.8,997.4
2015-07-17,1,23.6,18.4,10.200000000000003,0.0,3.6,49.8,37,8.1,26.8,14.3,996.5
2015-07-18,1,24.3,22.3,5.5,0.5,2.2,63.5,44,1.1,27.7,19.3,999.2
2015-07-19,1,25.1,21.3,8.5,5.0,1.8,77.4,51,3.4,26.2,24.1,1000.9
2015-07-20,1,27.5,24.4,6.800000000000001,0.0,2.4,71.4,54,1.7,27.2,26.1,998.9
2015-07-21,1,27.0,24.6,5.0,11.0,1.6,81.6,67,0.3,27.2,28.7,996.7
2015-07-22,1,27.7,25.3,6.399999999999999,1.0,1.8,76.9,60,2.2,28.6,28.4,996.0
2015-07-23,1,26.9,24.9,7.200000000000003,16.0,2.1,81.0,55,2.3,27.5,28.3,996.7
2015-07-24,1,24.7,22.6,2.799999999999997,26.5,2.0,96.9,90,0.0,26.0,29.9,994.8
2015-07-25,1,25.0,24.4,2.0,80.0,3.2,95.1,83,0.0,25.4,29.9,995.7
2015-07-26,1,26.0,23.5,6.5,40.5,2.6,85.5,62,4.3,25.4,28.3,998.0
2015-07-27,1,26.2,24.4,5.600000000000001,1.5,2.3,86.0,65,3.6,25.5,28.9,998.2
2015-07-28,1,27.7,24.6,6.599999999999998,0.0,2.7,74.4,52,7.2,28.8,27.1,997.9
2015-07-29,1,26.7,24.8,4.0,4.0,2.6,82.9,72,0.2,26.2,28.8,996.4
2015-07-30,1,28.6,25.5,7.600000000000001,0.0,3.5,76.4,54,7.9,28.6,29.4,998.0
2015-07-31,1,27.9,26.2,6.199999999999999,0.0,2.7,74.3,51,6.7,29.3,27.7,999.1
2015-08-01,1,28.2,26.0,5.600000000000001,0.0,3.1,72.8,59,5.3,28.7,27.5,999.6
2015-08-02,1,26.5,24.1,5.099999999999998,16.5,2.7,84.3,58,1.4,26.5,28.9,999.8
2015-08-03,1,27.9,25.6,5.899999999999999,0.0,3.8,71.5,60,6.0,29.1,26.5,998.6
2015-08-04,1,27.5,25.4,5.400000000000002,0.0,4.5,73.3,62,3.7,27.2,26.7,996.7
2015-08-05,1,28.6,25.9,6.800000000000004,0.1,3.7,67.0,45,7.5,29.7,25.6,998.1
2015-08-06,1,29.3,24.5,9.899999999999999,0.0,2.0,64.5,42,11.8,31.6,25.8,1001.9
2015-08-07,1,28.9,26.0,8.399999999999999,11.0,1.4,71.3,45,7.5,32.6,27.8,1004.8
2015-08-08,1,26.6,24.3,8.7,7.5,2.1,79.1,49,5.0,27.2,27.2,1003.5
2015-08-09,1,26.7,23.3,7.699999999999999,0.0,2.1,74.4,49,9.6,28.4,25.5,1001.1
2015-08-10,1,27.0,23.9,8.100000000000001,0.0,2.3,72.1,45,8.6,28.7,25.3,999.6
2015-08-11,1,26.8,24.5,6.100000000000001,0.0,2.1,73.6,47,2.2,27.8,25.6,997.5
2015-08-12,1,27.3,22.1,10.799999999999997,0.0,2.0,67.5,35,10.6,31.0,23.5,994.6
2015-08-13,1,26.5,23.9,7.200000000000003,0.0,1.9,68.6,40,8.5,29.5,23.6,994.8
2015-08-14,1,26.9,22.7,9.8,0.0,2.4,66.4,38,11.2,30.9,22.8,995.8
2015-08-15,1,27.1,23.1,7.699999999999999,0.1,1.9,70.4,50,6.5,29.5,24.8,998.1
