dummy,average_temp,low_temp,temp_range,precipitation,average_wind,average_humidity,low_humidity,total_daylight,average_ground_temp,average_vapor_pressure,average_atmos_pressure
0,15.5,9,0,1.6,52.8,29,11.2,18.1,8.8,998.7,13.5
0,16.4,11.2,0,2.3,48.9,28,10.9,20.2,9,996.4,11
0,17.1,10.6,0,2.3,28.5,14,12.7,21.3,5.3,1001.6,14.7
0,17.9,10.1,0,1.6,37.5,17,12.4,21.9,7.2,1006.4,16
0,19.5,12,0,1.7,40.4,18,10.7,22.3,8.3,1007.8,15.4
0,19.2,13.6,0,2.2,35.8,12,11.1,23.9,7.2,1005.8,12.9
0,14.5,9.8,0,3.1,27.1,12,12.8,22.8,4.3,1006.4,10
0,15,8.4,0,2.3,33.4,16,12.9,22.1,5.5,1005.7,13.5
0,15.6,10.1,0,2.3,48.3,31,12.2,21.3,8.4,1002.1,11.2
0,16.6,11.7,0,2.2,43.3,19,12.1,23.9,7.5,1000.8,11.2
0,17.8,10.3,0,1.9,48,28,12.3,24.4,9.2,1003.1,16.5
0,20.3,13.2,0,1.8,39,22,12.7,26.4,9,1003.7,15.1
0,21.6,14.7,0,1.5,36,24,12,26.8,9,1004.8,14.2
0,18.7,15.5,0,1.6,43.4,29,1,19.2,9.1,1004.4,7.3
0,19.6,12.9,0,1.6,44.5,24,13,25.8,9.7,1003,14
0,20.7,14.8,0,1.7,48.1,23,8.4,26.8,11.2,1002.9,13.2
0,23.5,16.7,0,1.5,43.8,25,12.5,29.9,11.9,1001.9,13.3
0,23.6,17.6,0,1.2,44.9,31,4.2,26.1,12.7,1002.2,10.7
0,22.8,19.1,0,2.1,46.8,38,4.3,28.2,12.8,1001.8,6.8
0,19.4,17.9,22,1.2,93,55,0,20.4,20.9,998.8,3.7
0,16.4,13,8.7,3.4,63.6,33,10.5,18.6,11.8,994.9,7.2
0,17.2,11.7,0,2.9,52,22,13.1,21.8,9.6,995.2,12.1
0,19.5,12.3,0,2.4,46,19,12.6,25.1,9.6,995.3,14.2
0,22.1,15,0,1.7,45,16,13.2,28.5,11,998.4,14.2
0,24.2,16.2,0,1.7,46.4,27,12.7,30.6,13.6,1000.8,17.2
0,23.4,18.4,0,1.6,45.6,15,7.1,26.7,12.3,1005,10.2
0,24.5,18.6,0,1.8,39,21,11,30.5,11.3,1003.7,12.5
0,17.8,14.3,7.1,2.4,80.9,42,0,18.2,16.5,994.5,8
0,18.1,11.9,0,2.6,45.9,20,13,21.8,8.9,1000.7,12.7
0,20.3,13.3,0,2,48.4,21,13.3,26.2,10.6,999.7,13.2
0,19.6,14.6,0,2.4,48,31,7,23.8,10.7,1000.7,9.9
